Jour,Entrées,Mall ID,Année,Mois,GLA centre (hyper + galerie+ mail) GI,GLA boutiques (hors mail - GI),Nombre places de parking (Assetbook),Nombre de boutiques (hors hyper),ALIMENTATION,EQ DE LA PERSONNE,EQ DE LA MAISON,LOISIRS,RESTAURATION,SERVICES,DIVERS,jour_semaine_Monday,jour_semaine_Saturday,jour_semaine_Sunday,jour_semaine_Thursday,jour_semaine_Tuesday,jour_semaine_Wednesday
2023-05-25,93913.0,53,2023,5,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-05-26,111336.0,53,2023,5,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-27,157716.0,53,2023,5,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-05-28,19898.0,53,2023,5,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-05-29,114220.0,53,2023,5,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-05-30,103734.0,53,2023,5,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-05-31,112870.0,53,2023,5,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-01,104077.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-06-02,124260.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-03,186761.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-06-04,21581.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-06-05,105808.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-06-06,105026.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-06-07,112601.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-08,101588.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-06-09,119051.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-10,171243.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-06-11,20244.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-06-12,106400.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,105046.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-06-14,116300.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-15,102191.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
2023-06-16,120288.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17,170446.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,1.0,0.0,0.0,0.0,0.0
2023-06-18,20636.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,1.0,0.0,0.0,0.0
2023-06-19,103720.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,1.0,0.0,0.0,0.0,0.0,0.0
2023-06-20,102803.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,1.0,0.0
2023-06-21,108158.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,0.0,0.0,1.0
2023-06-22,98138.0,53,2023,6,31740,5273,4450,36,1,5,0,7,5,11,7,0.0,0.0,0.0,1.0,0.0,0.0
